,2,3,4,5,6,7,8,9,10,11
8,hit,hit,hit,hit,hit,hit,hit,hit,hit,hit
9,hit,double,double,double,double,hit,hit,hit,hit,hit
10,double,double,double,double,double,double,double,double,hit,hit
11,double,double,double,double,double,double,double,double,double,double
12,hit,hit,stand,stand,stand,hit,hit,hit,hit,hit
13,stand,stand,stand,stand,stand,hit,hit,hit,hit,hit
14,stand,stand,stand,stand,stand,hit,hit,hit,hit,hit
15,stand,stand,stand,stand,stand,hit,hit,hit,hit,hit
16,stand,stand,stand,stand,stand,hit,hit,hit,hit,hit
17,stand,stand,stand,stand,stand,stand,stand,stand,stand,stand 
